 SEGNALAZIONI DI DISCREPANZE DBmeteo-DBunico SU QUALI SENSORI IMPORTARE 

sensori che nel DBmeteo risultano da importare ma non sono a disposizione dal DBunico

----------------------
IDstazione, IDsensore, tipologia
639 , Turbigo - Enel 145m $ , 6126 , 6126 , VVP 
567 , Chiavenna , 6140 , 6140 , VVP 
570 , Tirano - viale Italia , 6143 , 6143 , VVP 
587 , Casnigo - via Europa $ , 6162 , 6162 , UR 
574 , Lecco - Via Amendola , 6165 , 6165 , UR 
616 , Caorso - 10m , 6168 , 6168 , UR 
619 , Cassano d`Adda - AEM suolo $ , 6171 , 6171 , UR 
622 , Turbigo - Enel suolo $ , 6177 , 6177 , UR 
567 , Chiavenna , 6187 , 6187 , UR 
625 , Casalmaggiore - via Volta , 6407 , 6407 , UR 
628 , Cremona - p.zza Liberta $ , 6417 , 6417 , UR 
587 , Casnigo - via Europa $ , 6435 , 6435 , RG 
 ,  , 6436 ,  
625 , Casalmaggiore - via Volta , 6437 , 6437 , RG 
628 , Cremona - p.zza Liberta $ , 6438 , 6438 , RN 
628 , Cremona - p.zza Liberta $ , 6439 , 6439 , RG 
616 , Caorso - 10m , 6441 , 6441 , RG 
598 , S.Rocco al Porto , 6444 , 6444 , RN 
598 , S.Rocco al Porto , 6445 , 6445 , RG 
619 , Cassano d`Adda - AEM suolo $ , 6446 , 6446 , RG 
530 , Agrate , 6447 , 6447 , RN 
530 , Agrate , 6448 , 6448 , RG 
622 , Turbigo - Enel suolo $ , 6454 , 6454 , RG 
571 , Bormio , 6465 , 6465 , RG 
567 , Chiavenna , 6466 , 6466 , RG 
570 , Tirano - viale Italia , 6470 , 6470 , RG 
587 , Casnigo - via Europa $ , 6487 , 6487 , PA 
625 , Casalmaggiore - via Volta , 6491 , 6491 , PA 
628 , Cremona - p.zza Liberta $ , 6492 , 6492 , PA 
619 , Cassano d`Adda - AEM suolo $ , 6496 , 6496 , PA 
622 , Turbigo - Enel suolo $ , 6499 , 6499 , PA 
567 , Chiavenna , 6504 , 6504 , PA 
574 , Lecco - Via Amendola , 6588 , 6588 , RG 
643 , Pavia - p.zza Minerva , 6703 , 6703 , DV 
643 , Pavia - p.zza Minerva , 6709 , 6709 , PA 
643 , Pavia - p.zza Minerva , 6710 , 6710 , RG 
643 , Pavia - p.zza Minerva , 6712 , 6712 , T 
643 , Pavia - p.zza Minerva , 6713 , 6713 , UR 
643 , Pavia - p.zza Minerva , 6714 , 6714 , VV 
647 , Breno , 6746 , 6746 , DV 
649 , Brescia - Broletto , 6763 , 6763 , DV 
651 , Brescia - via Triumplina $ , 6780 , 6780 , PPR 
656 , Gambara , 6822 , 6822 , RG 
657 , Lonato , 6828 , 6828 , DV 
657 , Lonato , 6836 , 6836 , VV 
659 , Odolo , 6843 , 6843 , DV 
659 , Odolo , 6851 , 6851 , VV 
662 , Vobarno , 6868 , 6868 , T 
675 , Ostiglia - Enel $ , 6968 , 6968 , PP 
675 , Ostiglia - Enel $ , 6969 , 6969 , DV 
675 , Ostiglia - Enel $ , 6970 , 6970 , DVQ 
675 , Ostiglia - Enel $ , 6971 , 6971 , PA 
675 , Ostiglia - Enel $ , 6972 , 6972 , RG 
675 , Ostiglia - Enel $ , 6973 , 6973 , T 
675 , Ostiglia - Enel $ , 6974 , 6974 , UR 
675 , Ostiglia - Enel $ , 6975 , 6975 , VV 
675 , Ostiglia - Enel $ , 6976 , 6976 , VVQ 
676 , Sermide - Enel $ , 6977 , 6977 , DV 
676 , Sermide - Enel $ , 6978 , 6978 , DVQ 
676 , Sermide - Enel $ , 6979 , 6979 , PP 
676 , Sermide - Enel $ , 6980 , 6980 , PA 
676 , Sermide - Enel $ , 6981 , 6981 , RG 
676 , Sermide - Enel $ , 6982 , 6982 , T 
676 , Sermide - Enel $ , 6983 , 6983 , UR 
676 , Sermide - Enel $ , 6984 , 6984 , VV 
676 , Sermide - Enel $ , 6985 , 6985 , VVQ 
680 , Mantova - Liceo Virgilio (CODIMA) , 6999 , 6999 , PA 
692 , Sannazzaro de Burgondi - AGIP meteo $ , 7032 , 7032 , DV 
692 , Sannazzaro de Burgondi - AGIP meteo $ , 7033 , 7033 , PP 
692 , Sannazzaro de Burgondi - AGIP meteo $ , 7034 , 7034 , PA 
692 , Sannazzaro de Burgondi - AGIP meteo $ , 7035 , 7035 , RG 
692 , Sannazzaro de Burgondi - AGIP meteo $ , 7036 , 7036 , T 
692 , Sannazzaro de Burgondi - AGIP meteo $ , 7037 , 7037 , UR 
692 , Sannazzaro de Burgondi - AGIP meteo $ , 7038 , 7038 , VV 
835 , Oga S. Colombano , 8009 , 8009 , N 
833 , Gerola - Pescegallo * , 8014 , 8014 , N 
836 , Aprica * , 8017 , 8017 , N 
846 , Pantano d`Avio * , 8020 , 8020 , N 
847 , Carisole , 8024 , 8024 , N 
848 , La Vallaccia * , 8028 , 8028 , N 
829 , Cancano - Valdidentro * $ , 8051 , 8051 , PPR 
829 , Cancano - Valdidentro * $ , 8052 , 8052 , T 
827 , S.Caterina Valfurva $ , 8053 , 8053 , PPR 
827 , S.Caterina Valfurva $ , 8054 , 8054 , T 
828 , Forni - Valfurva * $ , 8055 , 8055 , PPR 
828 , Forni - Valfurva * $ , 8056 , 8056 , T 
832 , Palu , 8093 , 8093 , N 
872 , Ponte Briolo - Valbrembo * , 8126 , 8126 , PPR 
872 , Ponte Briolo - Valbrembo * , 8127 , 8127 , T 
888 , Edolo (IP radio) * , 8131 , 8131 , PPR 
888 , Edolo (IP radio) * , 8132 , 8132 , T 
890 , Milano - via Confalonieri * , 8149 , 8149 , PP 
860 , Angera * $ , 8167 , 8167 , PP 
854 , Ponte S.Marco * $ , 8182 , 8182 , PP 
854 , Ponte S.Marco * $ , 8183 , 8183 , T 
862 , Lodi - Ponte Adda SP235 * , 8194 , 8194 , T 
801 , Samolaco (IP radio) * $ , 8204 , 8204 , PP 
801 , Samolaco (IP radio) * $ , 8205 , 8205 , T 
827 , S.Caterina Valfurva $ , 8390 , 8390 , UR 
829 , Cancano - Valdidentro * $ , 8392 , 8392 , UR 
829 , Cancano - Valdidentro * $ , 8393 , 8393 , PA 
565 , Cantu - via Meucci , 8691 , 8691 , UR 
828 , Forni - Valfurva * $ , 8694 , 8694 , VV 
828 , Forni - Valfurva * $ , 8695 , 8695 , DV 
1071 , Milano - P.le Morandi $ , 8702 , 8702 , PP 
1072 , Milano - via Fara $ , 8703 , 8703 , PP 
1214 , Oltre il Colle * , 9005 , 9005 , T 
1236 , Porlezza - Ponte Cuccio , 9022 , 9022 , T 
1232 , Lavena Ponte Tresa * , 9023 , 9023 , T 
1208 , Olgiate Comasco * , 9033 , 9033 , T 
1214 , Oltre il Colle * , 9049 , 9049 , PA 
1236 , Porlezza - Ponte Cuccio , 9065 , 9065 , PA 
1208 , Olgiate Comasco * , 9071 , 9071 , PA 
1214 , Oltre il Colle * , 9094 , 9094 , PPR 
1236 , Porlezza - Ponte Cuccio , 9111 , 9111 , PP 
1232 , Lavena Ponte Tresa * , 9112 , 9112 , PP 
1208 , Olgiate Comasco * , 9122 , 9122 , PP 
 ,  , 9125 ,  
 ,  , 9126 ,  
 ,  , 9127 ,  
 ,  , 9128 ,  
 ,  , 9129 ,  
625 , Casalmaggiore - via Volta , 9320 , 9320 , DV 
625 , Casalmaggiore - via Volta , 9321 , 9321 , VV 
625 , Casalmaggiore - via Volta , 9322 , 9322 , PP 
628 , Cremona - p.zza Liberta $ , 9324 , 9324 , DV 
628 , Cremona - p.zza Liberta $ , 9325 , 9325 , PP 
628 , Cremona - p.zza Liberta $ , 9327 , 9327 , VV 
634 , Caorso - 80m , 9332 , 9332 , VVP 
616 , Caorso - 10m , 9333 , 9333 , VVP 
668 , Mantova - Lunetta 2 , 9339 , 9339 , DV 
668 , Mantova - Lunetta 2 , 9340 , 9340 , VV 
827 , S.Caterina Valfurva $ , 9377 , 9377 , VV 
829 , Cancano - Valdidentro * $ , 9378 , 9378 , VV 
1232 , Lavena Ponte Tresa * , 9380 , 9380 , UR 
1236 , Porlezza - Ponte Cuccio , 9382 , 9382 , UR 
1214 , Oltre il Colle * , 9392 , 9392 , UR 
827 , S.Caterina Valfurva $ , 9769 , 9769 , DV 
829 , Cancano - Valdidentro * $ , 9770 , 9770 , DV 
827 , S.Caterina Valfurva $ , 9790 , 9790 , RG 
1232 , Lavena Ponte Tresa * , 9901 , 9901 , PA 
169 , Brescia - Folzano (ASM) , 10362 , 10362 , VVS 
169 , Brescia - Folzano (ASM) , 10363 , 10363 , DV 
169 , Brescia - Folzano (ASM) , 10364 , 10364 , T 
169 , Brescia - Folzano (ASM) , 10365 , 10365 , RG 
169 , Brescia - Folzano (ASM) , 10366 , 10366 , RN 
169 , Brescia - Folzano (ASM) , 10367 , 10367 , VV 
169 , Brescia - Folzano (ASM) , 10368 , 10368 , DVS 
169 , Brescia - Folzano (ASM) , 10369 , 10369 , PP 
169 , Brescia - Folzano (ASM) , 10370 , 10370 , VVQ 
169 , Brescia - Folzano (ASM) , 10371 , 10371 , DVQ 
169 , Brescia - Folzano (ASM) , 10372 , 10372 , UR 
